"","Description","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"3020","RAF1",0.00275140688765507,6.85997163003005,0.0228829095879351,0.981774094954597,0.996215613887591,-6.43190105747459
"12285","HN1L",-0.00408773444262067,8.13969830043444,-0.022761791004074,0.981870547332317,0.996215613887591,-6.42458025576346
"131","SRM",-0.00394575674307251,5.90923419581057,-0.0226681731277424,0.981945099797388,0.996215613887591,-6.42869584830731
"5567","ZKSCAN3",-0.00308547683028904,2.85602040052219,-0.0226156811568599,0.98198690177482,0.996215613887591,-6.05111568897475
"9292","SLC43A3",0.00624091333010313,5.77151332747935,0.0225777880653397,0.982017077966721,0.996215613887591,-6.43367027278816
"4915","GIN1",0.00327734324699858,3.60417488803152,0.022517017827202,0.982065472445761,0.996215613887591,-6.19620322151658
"8782","ABCC2",-0.0138815499878837,1.02443139133769,-0.0225170012672892,0.982065485633284,0.996215613887591,-5.81933063799868
"11189","CBLN3",-0.00553183824757975,2.39350903227549,-0.0222750716218845,0.982258147363363,0.996351973502455,-5.93265984146502
"17095","FUNDC2",0.00361607068462977,6.94936537796155,0.0221503226056356,0.9823574921966,0.996393666716039,-6.43227448158589
"13518","CNTNAP1",0.00559487147830939,2.71759634522991,0.0220631022782606,0.982426950935652,0.996405043668908,-6.11392486206803
"10034","FAM66C",-0.00661525999016344,0.601055414073155,-0.0219317782635991,0.982531532320098,0.996443150276541,-5.61431276551138
"14259","GRIN3B",-0.0137276329646898,-2.65595089974251,-0.0217816783626884,0.98265106646803,0.996443150276541,-5.25836222939092
"11235","CLEC14A",0.00560973647500962,4.93819921175927,0.0217695357789955,0.982660736401013,0.996443150276541,-6.41858324500367
"6611","AC138783.12",0.0137893308794195,-2.97635347449624,0.021661029360046,0.982747147268016,0.996443150276541,-5.24281758872622
"15855","CLDN8",-0.0184943167168106,-1.24114070903181,-0.0215533697993193,0.982832883927645,0.996443150276541,-5.39878345769152
"8046","AKNA",-0.00397339446252332,4.96547188386216,-0.0214657475384525,0.982902663665044,0.996443150276541,-6.40374350950213
"16616","GS1-184P14.2",-0.00983701513827695,-2.41133833804193,-0.0214635993313939,0.9829043744343,0.996443150276541,-5.28955215138113
"7177","SLC39A14",-0.00722865991576871,6.92883091562163,-0.0214105382253978,0.982946630771999,0.996443150276541,-6.43216299894996
"7554","AF230666.2",-0.010778426016512,-2.55221388316975,-0.0213576851501657,0.982988721488028,0.996443150276541,-5.26371372682924
"235","RAP1GAP",0.0067247639821133,5.56853469637096,0.0211407849163477,0.983161455288558,0.996555016436398,-6.39994890775196
"7517","MRPL13",0.00419407741795386,5.83775896264112,0.0210728227072454,0.983215578818679,0.996555016436398,-6.43436357047938
"16372","FAM83F",0.00430997863318883,4.36309383290323,0.0203883599630235,0.983760673411853,0.996993351269288,-6.30650119027086
"10245","BCDIN3D-AS1",0.00870180783919872,-0.319827747924775,0.0202322278656041,0.983885015464569,0.996993351269288,-5.48277425316855
"12224","AXIN1",-0.00320315125859771,5.79923916139704,-0.0201377556699346,0.983960252375731,0.996993351269288,-6.42451619070322
"13355","RHBDL3",-0.0121358751428652,0.0010164146828035,-0.0200301483402432,0.984045950179476,0.996993351269288,-5.57593830920487
"7742","SMU1",0.00230195569959957,6.2471997193182,0.0200148071491596,0.984058167823186,0.996993351269288,-6.43527983553806
"7736","NDUFB6",0.00342966399582245,5.53851529735101,0.0199105252024933,0.984141217515743,0.996993351269288,-6.43454043806131
"4970","HSD17B4",-0.00415326106127534,7.67332227790569,-0.0199024084064133,0.984147681704426,0.996993351269288,-6.42758791256185
"1039","SNX27",0.00278011255734789,6.2096631586873,0.0198942170683695,0.984154205259141,0.996993351269288,-6.43297339746487
"8924","BUB3",0.00308040295831891,7.07029477588706,0.0198712021544016,0.984172534266761,0.996993351269288,-6.42858361470648
"2188","RGPD1",0.0139562294621052,-2.90241275570238,0.0195250106214605,0.984448241165295,0.997126963200432,-5.24642258437136
"16178","ADORA2A",-0.00659788836863306,3.8736703977873,-0.0194744965265603,0.984488470742518,0.997126963200432,-6.20867400154406
